Lago,Regiao,Estacao,Temp,pH
L1,Litoral,Inverno,20.31656326,6.502898341
L2,Litoral,Inverno,19.63143201,6.822568016
L3,Litoral,Inverno,20.98822056,7.111183841
L4,Litoral,Inverno,20.31460797,7.997223481
L5,Litoral,Inverno,20.12786393,6.560937306
L6,Litoral,Inverno,19.93104627,7.455266855
L7,Litoral,Inverno,20.94821988,7.250789972
L8,Litoral,Inverno,21.12748046,7.055487512
L9,Litoral,Inverno,19.6956799,6.698091105
L10,Litoral,Inverno,20.0393949,5.918178885
L11,Interior,Inverno,14.99188498,6.369547809
L12,Interior,Inverno,14.34614105,5.503496493
L13,Interior,Inverno,14.22085713,6.385328869
L14,Interior,Inverno,15.43741465,6.738277991
L15,Interior,Inverno,14.22804972,6.627230476
L16,Interior,Inverno,14.83405086,6.109892492
L17,Interior,Inverno,15.93499279,8.06934061
L18,Interior,Inverno,14.1735637,7.034575346
L19,Interior,Inverno,14.77561765,6.554036521
L20,Interior,Inverno,14.73187696,6.927431538
L21,Montanha,Inverno,9.82869321,6.782423124
L22,Montanha,Inverno,10.12583265,7.193959644
L23,Montanha,Inverno,10.65030712,6.92871725
L24,Montanha,Inverno,8.989041898,7.09936125
L25,Montanha,Inverno,9.809841407,6.563229596
L26,Montanha,Inverno,8.862461023,6.690464085
L27,Montanha,Inverno,9.841737973,6.691951297
L28,Montanha,Inverno,9.162667106,7.376002138
L29,Montanha,Inverno,10.9020792,7.984460744
L30,Montanha,Inverno,10.42708786,7.298284287
L1,Litoral,Verao,28.35344752,7.070166516
L2,Litoral,Verao,27.33297354,7.25826828
L3,Litoral,Verao,26.04660151,7.075844359
L4,Litoral,Verao,26.13376101,5.27565432
L5,Litoral,Verao,26.54129081,6.578379026
L6,Litoral,Verao,26.53097123,8.054656582
L7,Litoral,Verao,24.63031873,7.152609018
L8,Litoral,Verao,27.25014795,6.768238071
L9,Litoral,Verao,26.81994014,6.589594515
L10,Litoral,Verao,27.89575424,6.911360072
L11,Interior,Verao,23.40931408,6.596734222
L12,Interior,Verao,22.81931551,7.395309415
L13,Interior,Verao,23.38768617,7.707618164
L14,Interior,Verao,22.58897413,6.807275391
L15,Interior,Verao,23.69815711,7.452736321
L16,Interior,Verao,22.29018929,6.772200373
L17,Interior,Verao,23.05716595,7.284371045
L18,Interior,Verao,22.10814642,6.648495129
L19,Interior,Verao,23.93640495,7.152942925
L20,Interior,Verao,23.67911944,5.929686167
L21,Montanha,Verao,22.70069675,7.397616958
L22,Montanha,Verao,22.95340224,6.758200753
L23,Montanha,Verao,22.88710427,6.26756843
L24,Montanha,Verao,22.56496662,6.55404965
L25,Montanha,Verao,21.30838901,7.261938094
L26,Montanha,Verao,22.76301567,7.258529168
L27,Montanha,Verao,22.07772711,7.073623037
L28,Montanha,Verao,23.34277494,7.70662076
L29,Montanha,Verao,20.32970725,7.146752858
L30,Montanha,Verao,21.61619777,6.747828687
